;basket;bear;bear_2;bear_3;bear_4;bear_5;bear_6;bear_7;bear_8;bears;brush;buffalo;buffalo_2;elephant;elephant_2;elephant_3;elephant_4;elephants;elephants_2;gazelle;gazelle_2;gnu;gnu_2;goat;goat_2;goat_3;goat_4;goat_5;goat_6;goat_7;goat_8;golfcart;hyena;lions;rino;rino_2;rino_3;tiger;tire;turtle;
Taille Noyau Laplace;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Taille Noyau Gaussien;7;3;3;5;7;5;7;7;5;5;7;7;7;5;3;3;7;5;7;5;5;3;3;5;5;5;3;3;5;5;5;7;7;5;5;7;7;5;7;5;
Performance;1.02717;1.02334;1.01574;1.01104;1.01098;1.01669;1.01274;1.01162;1.00922;1.01368;1.03422;1.02651;1.04509;1.01791;1.01271;1.03086;1.04383;1.02972;1.02432;1.02596;1.03494;1.0197;1.02365;1.02486;1.01476;1.01678;1.01494;1.01177;1.01802;1.02163;1.02747;1.04548;1.01697;1.03557;1.0222;1.02019;1.01318;1.01855;1.03548;1.01635;
Taux Faux Positifs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Taux Faux Negatifs;-0.0271702;-0.0233364;-0.0157352;-0.0110421;-0.0109836;-0.0166925;-0.0127414;-0.0116157;-0.00922044;-0.0136771;-0.0342172;-0.0265113;-0.0450905;-0.0179124;-0.0127138;-0.0308617;-0.0438325;-0.0297198;-0.0243241;-0.0259557;-0.0349395;-0.0196981;-0.0236481;-0.0248647;-0.0147602;-0.0167793;-0.0149369;-0.0117718;-0.0180192;-0.0216336;-0.0274717;-0.0454823;-0.0169737;-0.0355694;-0.0222032;-0.0201944;-0.0131836;-0.0185452;-0.0354785;-0.0163537;
