;basket;bear;bear_2;bear_3;bear_4;bear_5;bear_6;bear_7;bear_8;bears;brush;buffalo;buffalo_2;elephant;elephant_2;elephant_3;elephant_4;elephants;elephants_2;gazelle;gazelle_2;gnu;gnu_2;goat;goat_2;goat_3;goat_4;goat_5;goat_6;goat_7;goat_8;golfcart;hyena;lions;rino;rino_2;rino_3;tiger;tire;turtle;
Taille Noyau Sobel;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Taille Noyau Gaussien;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
Performance;1.01904;1.02212;1.01346;1.00574;1.00194;1.01459;0.999312;0.987975;1.00346;1.01061;1.0305;0.998676;1.03132;1.00427;1.0111;1.02817;1.03439;1.01521;1.0206;1.01979;1.02322;1.00759;1.01888;1.02008;1.00792;1.01343;1.01359;1.01151;1.01157;1.004;1.02077;1.02597;0.996644;1.02051;1.02151;1.00343;1.00224;1.01547;1.00832;1.0092;
Taux Faux Positifs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Taux Faux Negatifs;-0.0190434;-0.0221185;-0.0134647;-0.00573509;-0.00193601;-0.0145904;0.000687681;0.0120248;-0.00345718;-0.0106146;-0.0305008;0.00132361;-0.0313241;-0.00427133;-0.0111028;-0.028168;-0.0343858;-0.0152056;-0.0205964;-0.0197916;-0.0232246;-0.00759297;-0.0188802;-0.0200755;-0.0079201;-0.0134281;-0.0135935;-0.0115132;-0.0115688;-0.00399857;-0.0207733;-0.0259677;0.00335594;-0.0205144;-0.0215091;-0.00343255;-0.00224172;-0.0154718;-0.00831713;-0.00920426;
